时间(分钟),信号值(微伏)
1.7013,-6056
1.7040,-6057
1.7067,-6056
1.7093,-6055
1.7120,-6057
1.7147,-6057
1.7173,-6057
1.7200,-6057
1.7227,-6058
1.7253,-6058
1.7280,-6058
1.7307,-6058
1.7333,-6058
1.7360,-6057
1.7387,-6057
1.7413,-6057
1.7440,-6057
1.7467,-6056
1.7493,-6057
1.7520,-6057
1.7547,-6057
1.7573,-6056
1.7600,-6057
1.7627,-6057
1.7653,-6057
1.7680,-6058
1.7707,-6057
1.7733,-6057
1.7760,-6058
1.7787,-6057
1.7813,-6057
1.7840,-6057
1.7867,-6057
1.7893,-6057
1.7920,-6057
1.7947,-6057
1.7973,-6056
1.8000,-6056
1.8027,-6056
1.8053,-6057
1.8080,-6056
1.8107,-6057
1.8133,-6056
1.8160,-6055
1.8187,-6056
1.8213,-6057
1.8240,-6057
1.8267,-6058
1.8293,-6058
1.8320,-6058
1.8347,-6057
1.8373,-6057
1.8400,-6058
1.8427,-6058
1.8453,-6057
1.8480,-6057
1.8507,-6057
1.8533,-6058
1.8560,-6059
1.8587,-6058
1.8613,-6057
1.8640,-6057
1.8667,-6057
1.8693,-6058
1.8720,-6058
1.8747,-6058
1.8773,-6057
1.8800,-6058
1.8827,-6058
1.8853,-6058
1.8880,-6058
1.8907,-6058
1.8933,-6058
1.8960,-6058
1.8987,-6058
1.9013,-6059
1.9040,-6059
1.9067,-6059
1.9093,-6059
1.9120,-6059
1.9147,-6058
1.9173,-6058
1.9200,-6058
1.9227,-6059
1.9253,-6059
1.9280,-6059
1.9307,-6059
1.9333,-6059
1.9360,-6059
1.9387,-6059
1.9413,-6058
1.9440,-6059
1.9467,-6059
1.9493,-6059
1.9520,-6059
1.9547,-6059
1.9573,-6060
1.9600,-6060
1.9627,-6059
1.9653,-6059
1.9680,-6061
1.9707,-6061
1.9733,-6061
1.9760,-6060
1.9787,-6060
1.9813,-6060
1.9840,-6061
1.9867,-6060
1.9893,-6060
1.9920,-6061
1.9947,-6060
1.9973,-6060
2.0000,-6061
2.0027,-6062
2.0053,-6062
2.0080,-6062
2.0107,-6061
2.0133,-6060
2.0160,-6061
2.0187,-6061
2.0213,-6061
2.0240,-6061
2.0267,-6061
2.0293,-6062
2.0320,-6061
2.0347,-6061
2.0373,-6062
2.0400,-6061
2.0427,-6061
2.0453,-6062
2.0480,-6061
2.0507,-6063
2.0533,-6062
2.0560,-6061
2.0587,-6062
2.0613,-6062
2.0640,-6061
2.0667,-6061
2.0693,-6062
2.0720,-6060
2.0747,-6062
2.0773,-6062
2.0800,-6062
2.0827,-6061
2.0853,-6061
2.0880,-6062
2.0907,-6062
2.0933,-6062
2.0960,-6063
2.0987,-6062
2.1013,-6063
2.1040,-6062
2.1067,-6061
2.1093,-6062
2.1120,-6062
2.1147,-6063
2.1173,-6062
2.1200,-6062
2.1227,-6063
2.1253,-6064
2.1280,-6063
2.1307,-6062
