时间(分钟),信号值(微伏),T,信号值(微伏)
0.7067,867,52.184182,-5309
0.7093,869,52.232074,-5308
0.712,871,52.279966,-5308
0.7147,873,52.327858,-5309
0.7173,878,52.447588,-5310
0.72,880,52.49548,-5309
0.7227,882,52.543372,-5308
0.7253,884,52.591264,-5314
0.728,886,52.639156,-5310
0.7307,890,52.73494,-5310
0.7333,893,52.806778,-5310
0.736,895,52.85467,-5311
0.7387,897,52.902562,-5310
0.7413,899,52.950454,-5311
0.744,903,53.046238,-5310
0.7467,905,53.09413,-5311
0.7493,908,53.165968,-5311
0.752,910,53.21386,-5312
0.7547,912,53.261752,-5312
0.7573,916,53.357536,-5312
0.76,918,53.405428,-5312
0.7627,920,53.45332,-5312
0.7653,922,53.501212,-5313
0.768,924,53.549104,-5313
0.7707,929,53.668834,-5313
0.7733,930,53.69278,-5314
0.776,933,53.764618,-5314
0.7787,935,53.81251,-5313
0.7813,937,53.860402,-5313
0.784,941,53.956186,-5313
0.7867,943,54.004078,-5312
0.7893,945,54.05197,-5311
0.792,947,54.099862,-5312
0.7947,949,54.147754,-5313
0.7973,953,54.243538,-5312
0.8,955,54.29143,-5312
0.8027,957,54.339322,-5312
0.8053,959,54.387214,-5310
0.808,961,54.435106,-5310
0.8107,965,54.53089,-5310
0.8133,967,54.578782,-5311
0.816,969,54.626674,-5311
0.8187,971,54.674566,-5310
0.8213,973,54.722458,-5310
0.824,977,54.818242,-5310
0.8267,979,54.866134,-5310
0.8293,981,54.914026,-5309
0.832,983,54.961918,-5309
0.8347,985,55.00981,-5310
0.8373,988,55.081648,-5310
0.84,991,55.153486,-5310
0.8427,993,55.201378,-5309
0.8453,994,55.225324,-5310
0.848,996,55.273216,-5309
0.8507,1000,55.369,-5307
0.8533,1002,55.416892,-5307
0.856,1004,55.464784,-5308
0.8587,1006,55.512676,-5308
0.8613,1008,55.560568,-5308
0.864,1012,55.656352,-5308
0.8667,1014,55.704244,-5308
0.8693,1016,55.752136,-5307
0.872,1017,55.776082,-5304
0.8747,1019,55.823974,-5304
0.8773,1023,55.919758,-5305
0.88,1025,55.96765,-5307
0.8827,1027,56.015542,-5309
0.8853,1028,56.039488,-5304
0.888,1031,56.111326,-5304
0.8907,1034,56.183164,-5305
0.8933,1036,56.231056,-5305
0.896,1038,56.278948,-5305
0.8987,1039,56.302894,-5306
0.9013,1041,56.350786,-5307
0.904,1045,56.44657,-5307
0.9067,1047,56.494462,-5307
0.9093,1049,56.542354,-5307
0.912,1050,56.5663,-5308
0.9147,1052,56.614192,-5308
0.9173,1056,56.709976,-5309
0.92,1058,56.757868,-5309
0.9227,1060,56.80576,-5310
0.9253,1061,56.829706,-5309
0.928,1063,56.877598,-5310
0.9307,1067,56.973382,-5310
0.9333,1068,56.997328,-5310
0.936,1070,57.04522,-5310
0.9387,1072,57.093112,-5312
0.9413,1074,57.141004,-5312
0.944,1077,57.212842,-5313
0.9467,1079,57.260734,-5312
0.9493,1081,57.308626,-5313
0.952,1083,57.356518,-5314
0.9547,1084,57.380464,-5312
0.9573,1088,57.476248,-5313
0.96,1089,57.500194,-5313
0.9627,1091,57.548086,-5315
0.9653,1093,57.595978,-5315
0.968,1095,57.64387,-5315
0.9707,1098,57.715708,-5315
0.9733,1100,57.7636,-5314
0.976,1102,57.811492,-5315
0.9787,1103,57.835438,-5316
0.9813,1105,57.88333,-5316
0.984,1108,57.955168,-5316
0.9867,1110,58.00306,-5315
0.9893,1112,58.050952,-5314
0.992,1114,58.098844,-5314
0.9947,1115,58.12279,-5314
0.9973,1119,58.218574,-5314
1,1120,58.24252,-5314
1.0027,1122,58.290412,-5315
1.0053,1124,58.338304,-5314
1.008,1125,58.36225,-5314
1.0107,1129,58.458034,-5314
1.0133,1130,58.48198,-5314
1.016,1132,58.529872,-5314
1.0187,1134,58.577764,-5314
1.0213,1135,58.60171,-5314
1.024,1139,58.697494,-5314
1.0267,1140,58.72144,-5313
1.0293,1142,58.769332,-5314
1.032,1144,58.817224,-5314
1.0347,1145,58.84117,-5314
1.0373,1148,58.913008,-5314
1.04,1150,58.9609,-5314
1.0427,1152,59.008792,-5313
1.0453,1153,59.032738,-5313
1.048,1156,59.104576,-5312
1.0507,1158,59.152468,-5313
1.0533,1160,59.20036,-5314
1.056,1161,59.224306,-5312
1.0587,1163,59.272198,-5312
1.0613,1166,59.344036,-5313
1.064,1168,59.391928,-5313
1.0667,1169,59.415874,-5313
1.0693,1171,59.463766,-5312
1.072,1172,59.487712,-5312
1.0747,1175,59.55955,-5312
1.0773,1177,59.607442,-5312
1.08,1179,59.655334,-5311
1.0827,1180,59.67928,-5312
1.0853,1182,59.727172,-5311
1.088,1185,59.79901,-5312
1.0907,1186,59.822956,-5312
1.0933,1188,59.870848,-5311
1.096,1190,59.91874,-5311
1.0987,1191,59.942686,-5312
1.1013,1194,60.014524,-5311
1.104,1196,60.062416,-5312
1.1067,1197,60.086362,-5312
1.1093,1198,60.110308,-5312
1.112,1200,60.1582,-5313
1.1147,1202,60.206092,-5313
1.1173,1205,60.27793,-5313
1.12,1206,60.301876,-5314
1.1227,1208,60.349768,-5315
1.1253,1209,60.373714,-5316
1.128,1212,60.445552,-5316
1.1307,1213,60.469498,-5316
1.1333,1215,60.51739,-5316
1.136,1217,60.565282,-5317
1.1387,1218,60.589228,-5318
1.1413,1221,60.661066,-5318
1.144,1222,60.685012,-5318
1.1467,1224,60.732904,-5318
1.1493,1226,60.780796,-5319
1.152,1227,60.804742,-5319
1.1547,1230,60.87658,-5318
1.1573,1232,60.924472,-5319
1.16,1233,60.948418,-5319
1.1627,1234,60.972364,-5320
1.1653,1236,61.020256,-5321
1.168,1238,61.068148,-5321
1.1707,1240,61.11604,-5321
1.1733,1241,61.139986,-5322
1.176,1243,61.187878,-5324
1.1787,1244,61.211824,-5324
1.1813,1247,61.283662,-5325
1.184,1249,61.331554,-5324
1.1867,1250,61.3555,-5325
1.1893,1251,61.379446,-5324
1.192,1253,61.427338,-5325
1.1947,1254,61.451284,-5326
1.1973,1257,61.523122,-5326
1.2,1259,61.571014,-5327
1.2027,1260,61.59496,-5329
1.2053,1261,61.618906,-5329
1.208,1264,61.690744,-5329
1.2107,1266,61.738636,-5329
1.2133,1267,61.762582,-5329
1.216,1268,61.786528,-5328
1.2187,1270,61.83442,-5329
1.2213,1272,61.882312,-5328
1.224,1274,61.930204,-5329
1.2267,1275,61.95415,-5329
1.2293,1277,62.002042,-5330
1.232,1278,62.025988,-5329
1.2347,1281,62.097826,-5329
1.2373,1282,62.121772,-5329
1.24,1283,62.145718,-5329
1.2427,1285,62.19361,-5329
1.2453,1286,62.217556,-5329
1.248,1289,62.289394,-5329
1.2507,1290,62.31334,-5329
1.2533,1292,62.361232,-5329
1.256,1293,62.385178,-5329
1.2587,1294,62.409124,-5330
1.2613,1297,62.480962,-5330
1.264,1298,62.504908,-5330
1.2667,1300,62.5528,-5330
1.2693,1301,62.576746,-5331
1.272,1302,62.600692,-5329
1.2747,1305,62.67253,-5330
1.2773,1307,62.720422,-5330
1.28,1308,62.744368,-5330
1.2827,1309,62.768314,-5329
1.2853,1310,62.79226,-5331
1.288,1313,62.864098,-5332
1.2907,1314,62.888044,-5331
1.2933,1315,62.91199,-5331
1.296,1317,62.959882,-5331
1.2987,1318,62.983828,-5331
1.3013,1321,63.055666,-5332
1.304,1322,63.079612,-5332
1.3067,1324,63.127504,-5333
1.3093,1325,63.15145,-5333
1.312,1326,63.175396,-5332
1.3147,1328,63.223288,-5332
1.3173,1330,63.27118,-5333
1.32,1331,63.295126,-5333
1.3227,1332,63.319072,-5335
1.3253,1334,63.366964,-5334
1.328,1335,63.39091,-5334
1.3307,1337,63.438802,-5334
1.3333,1338,63.462748,-5333
1.336,1340,63.51064,-5333
1.3387,1341,63.534586,-5333
1.3413,1343,63.582478,-5334
1.344,1345,63.63037,-5335
1.3467,1346,63.654316,-5335
1.3493,1347,63.678262,-5333
1.352,1348,63.702208,-5334
1.3547,1351,63.774046,-5335
1.3573,1352,63.797992,-5335
1.36,1354,63.845884,-5335
1.3627,1355,63.86983,-5334
1.3653,1356,63.893776,-5335
1.368,1358,63.941668,-5335
1.3707,1359,63.965614,-5337
1.3733,1361,64.013506,-5338
1.376,1362,64.037452,-5337
1.3787,1363,64.061398,-5338
1.3813,1366,64.133236,-5338
1.384,1367,64.157182,-5338
1.3867,1368,64.181128,-5339
1.3893,1370,64.22902,-5341
1.392,1371,64.252966,-5342
1.3947,1373,64.300858,-5342
1.3973,1374,64.324804,-5342
1.4,1375,64.34875,-5344
1.4027,1377,64.396642,-5344
1.4053,1378,64.420588,-5346
1.408,1380,64.46848,-5345
1.4107,1382,64.516372,-5345
1.4133,1383,64.540318,-5346
1.416,1384,64.564264,-5347
1.4187,1385,64.58821,-5348
1.4213,1388,64.660048,-5348
1.424,1389,64.683994,-5348
1.4267,1390,64.70794,-5348
1.4293,1391,64.731886,-5349
1.432,1392,64.755832,-5350
1.4347,1395,64.82767,-5351
1.4373,1396,64.851616,-5352
1.44,1397,64.875562,-5351
1.4427,1398,64.899508,-5352
1.4453,1399,64.923454,-5352
1.448,1401,64.971346,-5351
1.4507,1403,65.019238,-5353
1.4533,1404,65.043184,-5354
1.456,1405,65.06713,-5353
1.4587,1406,65.091076,-5354
1.4613,1408,65.138968,-5355
1.464,1410,65.18686,-5356
1.4667,1411,65.210806,-5355
1.4693,1412,65.234752,-5355
1.472,1413,65.258698,-5356
1.4747,1415,65.30659,-5356
1.4773,1417,65.354482,-5357
1.48,1418,65.378428,-5357
1.4827,1419,65.402374,-5357
1.4853,1420,65.42632,-5358
1.488,1423,65.498158,-5359
1.4907,1424,65.522104,-5359
1.4933,1425,65.54605,-5359
1.496,1426,65.569996,-5359
1.4987,1427,65.593942,-5359
1.5013,1430,65.66578,-5358
1.504,1431,65.689726,-5359
1.5067,1432,65.713672,-5359
1.5093,1433,65.737618,-5360
1.512,1434,65.761564,-5360
1.5147,1437,65.833402,-5361
1.5173,1438,65.857348,-5361
1.52,1439,65.881294,-5361
1.5227,1440,65.90524,-5361
1.5253,1441,65.929186,-5361
1.528,1443,65.977078,-5361
1.5307,1444,66.001024,-5361
1.5333,1445,66.02497,-5362
1.536,1446,66.048916,-5362
1.5387,1448,66.096808,-5362
1.5413,1450,66.1447,-5362
1.544,1451,66.168646,-5362
1.5467,1452,66.192592,-5362
1.5493,1453,66.216538,-5364
1.552,1454,66.240484,-5365
1.5547,1457,66.312322,-5365
1.5573,1458,66.336268,-5366
1.56,1459,66.360214,-5366
1.5627,1460,66.38416,-5367
1.5653,1461,66.408106,-5367
1.568,1463,66.455998,-5368
1.5707,1464,66.479944,-5368
1.5733,1465,66.50389,-5367
1.576,1467,66.551782,-5368
1.5787,1468,66.575728,-5369
1.5813,1470,66.62362,-5369
1.584,1471,66.647566,-5370
1.5867,1472,66.671512,-5370
1.5893,1473,66.695458,-5370
1.592,1475,66.74335,-5371
1.5947,1477,66.791242,-5372
1.5973,1478,66.815188,-5374
1.6,1479,66.839134,-5375
1.6027,1480,66.86308,-5375
1.6053,1481,66.887026,-5375
1.608,1483,66.934918,-5375
1.6107,1485,66.98281,-5376
1.6133,1486,67.006756,-5376
1.616,1487,67.030702,-5378
1.6187,1488,67.054648,-5377
1.6213,1490,67.10254,-5378
1.624,1491,67.126486,-5378
1.6267,1492,67.150432,-5379
1.6293,1494,67.198324,-5381
1.632,1495,67.22227,-5382
1.6347,1497,67.270162,-5382
1.6373,1498,67.294108,-5382
1.64,1499,67.318054,-5383
1.6427,1500,67.342,-5383
1.6453,1501,67.365946,-5384
1.648,1504,67.437784,-5385
1.6507,1505,67.46173,-5385
1.6533,1506,67.485676,-5386
1.656,1507,67.509622,-5387
1.6587,1508,67.533568,-5387
1.6613,1511,67.605406,-5388
1.664,1511,67.605406,-5388
1.6667,1512,67.629352,-5388
1.6693,1514,67.677244,-5390
1.672,1515,67.70119,-5391
1.6747,1517,67.749082,-5391
1.6773,1519,67.796974,-5391
1.68,1520,67.82092,-5392
1.6827,1521,67.844866,-5392
1.6853,1522,67.868812,-5392
1.688,1524,67.916704,-5394
1.6907,1525,67.94065,-5394
1.6933,1526,67.964596,-5395
1.696,1528,68.012488,-5396
1.6987,1529,68.036434,-5396
1.7013,1531,68.084326,-5396
1.704,1532,68.108272,-5396
1.7067,1533,68.132218,-5397
1.7093,1534,68.156164,-5398
1.712,1535,68.18011,-5398
1.7147,1538,68.251948,-5399
1.7173,1539,68.275894,-5399
1.72,1540,68.29984,-5400
1.7227,1542,68.347732,-5400
1.7253,1542,68.347732,-5400
1.728,1545,68.41957,-5400
1.7307,1546,68.443516,-5401
1.7333,1547,68.467462,-5401
1.736,1548,68.491408,-5403
1.7387,1549,68.515354,-5404
1.7413,1552,68.587192,-5404
1.744,1553,68.611138,-5404
1.7467,1554,68.635084,-5404
1.7493,1555,68.65903,-5405
1.752,1556,68.682976,-5406
1.7547,1558,68.730868,-5406
1.7573,1560,68.77876,-5406
1.76,1561,68.802706,-5406
1.7627,1562,68.826652,-5408
1.7653,1563,68.850598,-5408
1.768,1566,68.922436,-5408
1.7707,1567,68.946382,-5409
1.7733,1568,68.970328,-5409
1.776,1569,68.994274,-5409
1.7787,1570,69.01822,-5408
1.7813,1573,69.090058,-5409
1.784,1574,69.114004,-5409
1.7867,1575,69.13795,-5411
1.7893,1576,69.161896,-5409
1.792,1577,69.185842,-5410
1.7947,1580,69.25768,-5410
1.7973,1581,69.281626,-5410
1.8,1582,69.305572,-5410
1.8027,1583,69.329518,-5412
1.8053,1584,69.353464,-5413
1.808,1587,69.425302,-5413
1.8107,1588,69.449248,-5413
1.8133,1589,69.473194,-5413
1.816,1590,69.49714,-5413
1.8187,1591,69.521086,-5412
1.8213,1594,69.592924,-5413
1.824,1595,69.61687,-5413
1.8267,1596,69.640816,-5415
1.8293,1597,69.664762,-5416
1.832,1598,69.688708,-5415
1.8347,1601,69.760546,-5416
1.8373,1602,69.784492,-5417
1.84,1603,69.808438,-5417
1.8427,1604,69.832384,-5417
1.8453,1606,69.880276,-5418
1.848,1608,69.928168,-5419
1.8507,1610,69.97606,-5418
1.8533,1611,70.000006,-5418
1.856,1612,70.023952,-5418
1.8587,1613,70.047898,-5421
1.8613,1616,70.119736,-5421
1.864,1617,70.143682,-5421
1.8667,1618,70.167628,-5422
1.8693,1619,70.191574,-5424
1.872,1621,70.239466,-5424
1.8747,1623,70.287358,-5424
1.8773,1624,70.311304,-5425
1.88,1625,70.33525,-5426
1.8827,1627,70.383142,-5427
1.8853,1628,70.407088,-5428
1.888,1630,70.45498,-5428
1.8907,1632,70.502872,-5430
1.8933,1633,70.526818,-5432
1.896,1634,70.550764,-5430
1.8987,1635,70.57471,-5430
1.9013,1638,70.646548,-5430
1.904,1639,70.670494,-5429
1.9067,1640,70.69444,-5428
1.9093,1642,70.742332,-5431
1.912,1643,70.766278,-5431
1.9147,1645,70.81417,-5432
1.9173,1646,70.838116,-5431
1.92,1648,70.886008,-5431
1.9227,1649,70.909954,-5432
1.9253,1650,70.9339,-5435
1.928,1653,71.005738,-5435
1.9307,1654,71.029684,-5436
1.9333,1655,71.05363,-5436
1.936,1656,71.077576,-5435
1.9387,1658,71.125468,-5435
1.9413,1660,71.17336,-5435
1.944,1661,71.197306,-5436
1.9467,1663,71.245198,-5438
1.9493,1664,71.269144,-5438
1.952,1665,71.29309,-5438
1.9547,1668,71.364928,-5439
1.9573,1669,71.388874,-5440
1.96,1670,71.41282,-5441
1.9627,1672,71.460712,-5438
1.9653,1673,71.484658,-5440
1.968,1675,71.53255,-5441
1.9707,1677,71.580442,-5441
1.9733,1678,71.604388,-5440
1.976,1680,71.65228,-5443
1.9787,1681,71.676226,-5443
1.9813,1683,71.724118,-5442
1.984,1684,71.748064,-5443
1.9867,1685,71.77201,-5443
1.9893,1687,71.819902,-5444
1.992,1688,71.843848,-5445
1.9947,1691,71.915686,-5443
1.9973,1692,71.939632,-5442
2,1693,71.963578,-5444
2.0027,1695,72.01147,-5444
2.0053,1696,72.035416,-5446
2.008,1699,72.107254,-5446
2.0107,1700,72.1312,-5446
2.0133,1701,72.155146,-5446
2.016,1703,72.203038,-5446
2.0187,1704,72.226984,-5446
2.0213,1706,72.274876,-5446
2.024,1707,72.298822,-5446
2.0267,1709,72.346714,-5447
2.0293,1710,72.37066,-5448
2.032,1712,72.418552,-5449
2.0347,1714,72.466444,-5449
2.0373,1715,72.49039,-5448
2.04,1717,72.538282,-5449
2.0427,1718,72.562228,-5450
2.0453,1719,72.586174,-5451
2.048,1722,72.658012,-5451
2.0507,1723,72.681958,-5451
2.0533,1725,72.72985,-5452
2.056,1726,72.753796,-5451
2.0587,1727,72.777742,-5453
2.0613,1730,72.84958,-5453
2.064,1732,72.897472,-5453
2.0667,1733,72.921418,-5451
2.0693,1734,72.945364,-5456
2.072,1735,72.96931,-5456
2.0747,1738,73.041148,-5455
2.0773,1739,73.065094,-5454
2.08,1740,73.08904,-5454
2.0827,1742,73.136932,-5456
2.0853,1743,73.160878,-5457
2.088,1746,73.232716,-5458
2.0907,1747,73.256662,-5457
2.0933,1749,73.304554,-5458
2.096,1750,73.3285,-5460
2.0987,1751,73.352446,-5458
2.1013,1754,73.424284,-5457
2.104,1755,73.44823,-5459
2.1067,1756,73.472176,-5460
2.1093,1757,73.496122,-5461
2.112,1759,73.544014,-5461
2.1147,1761,73.591906,-5460
2.1173,1763,73.639798,-5459
2.12,1764,73.663744,-5458
2.1227,1765,73.68769,-5460
2.1253,1767,73.735582,-5460
2.128,1770,73.80742,-5461
2.1307,1771,73.831366,-5461
2.1333,1773,73.879258,-5461
2.136,1774,73.903204,-5462
2.1387,1775,73.92715,-5460
2.1413,1778,73.998988,-5462
2.144,1779,74.022934,-5465
2.1467,1780,74.04688,-5465
2.1493,1782,74.094772,-5466
2.152,1783,74.118718,-5464
2.1547,1786,74.190556,-5464
2.1573,1787,74.214502,-5465
2.16,1788,74.238448,-5466
2.1627,1790,74.28634,-5467
2.1653,1791,74.310286,-5467
2.168,1794,74.382124,-5467
2.1707,1795,74.40607,-5467
2.1733,1797,74.453962,-5468
2.176,1798,74.477908,-5468
2.1787,1799,74.501854,-5469
2.1813,1802,74.573692,-5469
2.184,1803,74.597638,-5469
2.1867,1805,74.64553,-5470
2.1893,1806,74.669476,-5472
2.192,1807,74.693422,-5471
2.1947,1810,74.76526,-5472
2.1973,1811,74.789206,-5472
2.2,1813,74.837098,-5473
2.2027,1814,74.861044,-5473
2.2053,1815,74.88499,-5473
2.208,1818,74.956828,-5474
2.2107,1820,75.00472,-5475
2.2133,1821,75.028666,-5475
2.216,1822,75.052612,-5476
2.2187,1823,75.076558,-5478
2.2213,1826,75.148396,-5478
2.224,1827,75.172342,-5477
2.2267,1829,75.220234,-5477
2.2293,1830,75.24418,-5477
2.232,1832,75.292072,-5478
2.2347,1834,75.339964,-5480
2.2373,1836,75.387856,-5481
2.24,1837,75.411802,-5480
2.2427,1838,75.435748,-5482
2.2453,1840,75.48364,-5482
2.248,1843,75.555478,-5482
2.2507,1844,75.579424,-5483
2.2533,1845,75.60337,-5484
2.256,1847,75.651262,-5485
2.2587,1848,75.675208,-5485
2.2613,1851,75.747046,-5485
2.264,1852,75.770992,-5485
2.2667,1853,75.794938,-5485
2.2693,1855,75.84283,-5487
2.272,1856,75.866776,-5488
2.2747,1859,75.938614,-5488
2.2773,1860,75.96256,-5487
2.28,1862,76.010452,-5487
